ID,gene_tree_error,true_tree,astral-iii,tree-qmc,caster,astrid,astral-iv
11,0.5535,generated_ETM_11.trees,astral_tree_11.trees,11_simulated_true.tre,casteroutput_11.txt,astridoutput_11.txt,estim_tree_11.tre
17,0.5103,generated_ETM_17.trees,astral_tree_17.trees,17_simulated_true.tre,casteroutput_17.txt,astridoutput_17.txt,estim_tree_17.tre
18,0.5051,generated_ETM_18.trees,astral_tree_18.trees,18_simulated_true.tre,casteroutput_18.txt,astridoutput_18.txt,estim_tree_18.tre
52,0.5613,generated_ETM_52.trees,astral_tree_52.trees,52_simulated_true.tre,casteroutput_52.txt,astridoutput_52.txt,estim_tree_52.tre
1,0.7921,generated_FordsAlpha_1.trees,astral_tree_1.trees,1_simulated_true.tre,casteroutput_1.txt,astridoutput_1.txt,estim_tree_1.tre
4,0.7723,generated_FordsAlpha_4.trees,astral_tree_4.trees,4_simulated_true.tre,casteroutput_4.txt,astridoutput_4.txt,estim_tree_4.tre
7,0.7991,generated_FordsAlpha_7.trees,astral_tree_7.trees,7_simulated_true.tre,casteroutput_7.txt,astridoutput_7.txt,estim_tree_7.tre
20,0.7605,generated_FordsAlpha_20.trees,astral_tree_20.trees,20_simulated_true.tre,casteroutput_20.txt,astridoutput_20.txt,estim_tree_20.tre
29,0.8485,generated_FordsAlpha_29.trees,astral_tree_f29.trees,29f_simulated_true.tre,casteroutput_f29.txt,astridoutput_f29.txt,estim_tree_f29.tre
42,0.802,generated_FordsAlpha_42.trees,astral_tree_42.trees,42_simulated_true.tre,casteroutput_42.txt,astridoutput_42.txt,estim_tree_42.tre
53,0.8361,generated_FordsAlpha_53.trees,astral_tree_53.trees,53_simulated_true.tre,casteroutput_53.txt,astridoutput_53.txt,estim_tree_53.tre
64,0.9356,generated_FordsAlpha_64.trees,astral_tree_64.trees,64_simulated_true.tre,casteroutput_64.txt,astridoutput_64.txt,estim_tree_64.tre
78,0.7798,generated_FordsAlpha_78.trees,astral_tree_78.trees,78_simulated_true.tre,casteroutput_78.txt,astridoutput_78.txt,estim_tree_78.tre
94,0.8361,generated_FordsAlpha_94.trees,astral_tree_94.trees,94_simulated_true.tre,casteroutput_94.txt,astridoutput_94.txt,estim_tree_94.tre
73,0.9416,generated_Grow_73.trees,astral_tree_73.trees,73_simulated_true.tre,casteroutput_73.txt,astridoutput_73.txt,estim_tree_73.tre
25,0.6091,generated_PDA_25.trees,astral_tree_25.trees,25_simulated_true.tre,casteroutput_25.txt,astridoutput_25.txt,estim_tree_25.tre
28,0.7305,generated_PDA_28.trees,astral_tree_28.trees,28_simulated_true.tre,casteroutput_28.txt,astridoutput_28.txt,estim_tree_28.tre
9,0.286,s_tree_9_9.trees,astral_tree_9.trees,09_simulated_true.tre,casteroutput_9.txt,astridoutput_9.txt,estim_tree_9.tre
29,0.3271,s_tree_29_29.trees,astral_tree_29.trees,29_simulated_true.tre,casteroutput_29.txt,astridoutput_29.txt,estim_tree_29.tre
59,0.3715,s_tree_59_59.trees,astral_tree_59.trees,59_simulated_true.tre,casteroutput_59.txt,astridoutput_59.txt,estim_tree_59.tre
